SR.NO.,PRODUCT,REVIEW,RATING,,,,,
70,Bluetooth Speaker,,Completely disappointed with this speaker.,,,,,1
71,Mobile Cover,,The cover fits my phone perfectly.,,,,,5
72,Mobile Cover,,Excellent quality and very strong.,,,,,5
73,Mobile Cover,,Good cover and looks stylish.,,,,,4
74,Mobile Cover,,The cover is nice but slightly expensive.,,,,,4
75,Mobile Cover,,It is an average cover.,,,,,3
76,Mobile Cover,,The quality is okay but nothing special.,,,,,3
77,Mobile Cover,,The cover started getting damaged quickly.,,,,,2
78,Mobile Cover,,The buttons are difficult to press.,,,,,2
79,Mobile Cover,,Very poor quality and does not fit properly.,,,,,1
80,Mobile Cover,,The cover broke after a few days.,,,,,1
81,Study Lamp,,The light is bright and perfect for studying.,,,,,5
82,Study Lamp,,Excellent lamp and very useful at night.,,,,,5
83,Study Lamp,,Good brightness and easy to adjust.,,,,,4
84,Study Lamp,,The lamp works well but the stand is a little weak.,,,,,4
85,Study Lamp,,The brightness is average.,,,,,3
86,Study Lamp,,It is okay but I expected better lighting.,,,,,3
87,Study Lamp,,The light started flickering after some time.,,,,,2
88,Study Lamp,,The lamp is not bright enough.,,,,,2
89,Study Lamp,,Very poor quality and stopped working.,,,,,1
90,Study Lamp,,Not a good product and waste of money.,,,,,1
91,School Shoes,,Very comfortable and good quality shoes.,,,,,5
92,School Shoes,,Excellent shoes and comfortable for daily use.,,,,,5
93,School Shoes,,Good shoes and the size is perfect.,,,,,4
94,School Shoes,,The shoes look good but are slightly hard.,,,,,4
95,School Shoes,,The shoes are okay but not very comfortable.,,,,,3
96,School Shoes,,Average quality for the price.,,,,,3
97,School Shoes,,The shoes started hurting my feet.,,,,,2
98,School Shoes,,The sole is not strong enough.,,,,,2
99,School Shoes,,Very uncomfortable and poor quality.,,,,,1
100,School Shoes,,The shoes damaged quickly and I am unhappy.,,,,,1
